fecha,efectivo,cta_cte,tarjetas,tickets,cheques,otros,total,ventas,prom_vtas,cubt1,cubt2,cubt3,cub,promedio,acumulado
"Mie 13/07/22",59100.00,0.00,43820.00,0.00,0.00,25750.00,128670.00,30,4289.00,0,0,0,0,0.00,26089099.0
"Jue 14/07/22",67530.00,0.00,87990.00,0.00,0.00,42490.00,198010.00,48,4125.21,0,0,0,0,0.00,26287109.0
"Vie 15/07/22",104171.00,0.00,58090.00,0.00,0.00,27390.00,189651.00,51,3718.65,0,0,0,0,0.00,26476760.0
"Sab 16/07/22",138984.00,0.00,78745.00,0.00,0.00,22390.00,240119.00,61,3936.38,0,0,0,0,0.00,26716879.0
"Mar 19/07/22",94464.00,0.00,29015.00,0.00,0.00,19375.00,142854.00,38,3759.32,0,0,0,0,0.00,26859733.0
"Mie 20/07/22",95035.00,0.00,80960.00,0.00,0.00,58550.00,234545.00,53,4425.38,0,0,0,0,0.00,27094278.0
"Jue 21/07/22",78210.00,0.00,33380.00,0.00,0.00,17890.00,129480.00,31,4176.77,0,0,0,0,0.00,27223758.0
"Vie 22/07/22",150640.00,0.00,56610.00,0.00,0.00,39830.00,247080.00,55,4492.36,0,0,0,0,0.00,27470838.0
"Sab 23/07/22",149230.00,0.00,44700.00,0.00,0.00,29330.00,223260.00,54,4134.44,0,0,0,0,0.00,27694098.0
"Mar 26/07/22",116795.00,0.00,27610.00,0.00,0.00,39056.00,183461.00,43,4266.53,0,0,0,0,0.00,27877559.0
"Mie 27/07/22",80750.00,0.00,24860.00,0.00,0.00,20690.00,126300.00,24,5262.50,0,0,0,0,0.00,28003859.0
"Jue 28/07/22",131930.00,0.00,42040.00,0.00,0.00,24870.00,198840.00,46,4322.61,0,0,0,0,0.00,28202699.0
"Vie 29/07/22",173840.00,0.00,48100.00,0.00,0.00,84630.00,306570.00,73,4199.59,0,0,0,0,0.00,28509269.0
"Sab 30/07/22",145380.00,0.00,124115.00,0.00,0.00,58500.00,327995.00,77,4259.68,0,0,0,0,0.00,28837264.0
"Mar 02/08/22",95600.00,0.00,38430.00,0.00,0.00,23821.00,157851.00,44,3587.52,0,0,0,0,0.00,28995115.0
"Mie 03/08/22",58940.00,0.00,44870.00,0.00,0.00,15630.00,119440.00,29,4118.62,0,0,0,0,0.00,29114555.0
"Jue 04/08/22",70050.00,0.00,34750.00,0.00,0.00,7470.00,112270.00,25,4490.80,0,0,0,0,0.00,29226825.0
"Vie 05/08/22",191300.00,0.00,69050.00,0.00,0.00,27800.00,288150.00,63,4573.81,0,0,0,0,0.00,29514975.0
"Sab 06/08/22",163120.00,0.00,100590.00,0.00,0.00,35370.00,299080.00,74,4041.62,0,0,0,0,0.00,29814055.0
"Mar 09/08/22",110519.00,0.00,46943.00,0.00,0.00,30560.00,188022.00,44,4273.23,0,0,0,0,0.00,30002077.0
"Mie 10/08/22",116820.00,0.00,30710.00,0.00,0.00,21160.00,168690.00,30,5623.00,0,0,0,0,0.00,30170767.0
"Jue 11/08/22",127420.00,0.00,64480.00,0.00,0.00,15610.00,207510.00,51,4068.82,0,0,0,0,0.00,30378277.0
"Vie 12/08/22",179690.00,0.00,44400.00,0.00,0.00,76220.00,300310.00,67,4482.24,0,0,0,0,0.00,30678587.0
"Sab 13/08/22",146950.00,0.00,107570.00,0.00,0.00,29950.00,284470.00,64,4444.84,0,0,0,0,0.00,30963057.0
"Dom 14/08/22",94960.00,0.00,60150.00,0.00,0.00,41910.00,197020.00,43,4581.86,0,0,0,0,0.00,31160077.0
"Mie 17/08/22",96190.00,0.00,25510.00,0.00,0.00,35890.00,157590.00,29,5434.14,0,0,0,0,0.00,31317667.0
"Jue 18/08/22",43880.00,0.00,35020.00,0.00,0.00,12390.00,91290.00,22,4149.55,0,0,0,0,0.00,31408957.0
"Vie 19/08/22",221470.00,0.00,72920.00,0.00,0.00,24290.00,318680.00,69,4618.55,0,0,0,0,0.00,31727637.0
"Sab 20/08/22",141840.00,0.00,71710.00,0.00,0.00,39890.00,253440.00,51,4969.41,0,0,0,0,0.00,31981077.0
"Mar 23/08/22",94746.00,0.00,10272.00,0.00,0.00,35739.00,140757.00,31,4540.55,0,0,0,0,0.00,32121834.0
"Mie 24/08/22",109710.00,0.00,14710.00,0.00,0.00,25930.00,150350.00,30,5011.67,0,0,0,0,0.00,32272184.0
"Jue 25/08/22",107350.00,0.00,73340.00,0.00,0.00,42750.00,223440.00,46,4857.39,0,0,0,0,0.00,32495624.0
"Vie 26/08/22",139790.00,0.00,60000.00,0.00,0.00,46180.00,245970.00,59,4168.98,0,0,0,0,0.00,32741594.0
"Sab 27/08/22",179529.00,0.00,76960.00,0.00,0.00,36450.00,292939.00,62,4724.82,0,0,0,0,0.00,33034533.0
"Mar 30/08/22",131071.90,0.00,12354.00,0.00,0.00,48367.00,191792.90,39,4917.77,0,0,0,0,0.00,33226325.9
"Mie 31/08/22",60150.00,0.00,23470.00,0.00,0.00,16980.00,100600.00,21,4790.48,0,0,0,0,0.00,33326925.9
"Jue 01/09/22",67490.00,0.00,47730.00,0.00,0.00,30710.00,145930.00,35,4169.43,0,0,0,0,0.00,33472855.9
"Vie 02/09/22",225110.00,0.00,86100.00,0.00,0.00,60160.00,371370.00,76,4886.45,0,0,0,0,0.00,33844225.9
"Sab 03/09/22",134480.00,0.00,80540.00,0.00,0.00,31130.00,246150.00,55,4475.45,0,0,0,0,0.00,34090375.9
"Mar 06/09/22",93572.00,0.00,47051.00,0.00,0.00,20442.00,161065.00,34,4737.21,0,0,0,0,0.00,34251440.9
"Mie 07/09/22",59550.00,0.00,43170.00,0.00,0.00,29300.00,132020.00,29,4552.41,0,0,0,0,0.00,34383460.9
"Jue 08/09/22",77360.00,0.00,34236.00,0.00,0.00,7770.00,119366.00,23,5189.83,0,0,0,0,0.00,34502826.9
"Vie 09/09/22",172470.00,0.00,117660.00,0.00,0.00,32500.00,322630.00,71,4544.08,0,0,0,0,0.00,34825456.9
"Sab 10/09/22",188310.00,0.00,80990.00,0.00,0.00,26290.00,295590.00,64,4618.59,0,0,0,0,0.00,35121046.9
"Mar 13/09/22",81226.00,0.00,82109.00,0.00,0.00,35559.00,198894.00,35,5682.69,0,0,0,0,0.00,35319940.9
"Mie 14/09/22",101570.00,0.00,36780.00,0.00,0.00,20190.00,158540.00,34,4662.94,0,0,0,0,0.00,35478480.9
