fecha,salon,mostrador,domicilio,otros,total,cub,promedio,ventas,prom_vtas,acumulado
"Vie 08/07/22",0.00,15370.00,277138.00,0.00,292508.00,0,0.00,62,4717.87,292508.00
"Sab 09/07/22",0.00,1200.00,263770.00,0.00,264970.00,0,0.00,63,4205.87,264970.00
"Mar 12/07/22",0.00,0.00,152698.00,0.00,152698.00,0,0.00,35,4362.80,152698.00
"Mie 13/07/22",0.00,1220.00,127450.00,0.00,128670.00,0,0.00,30,4289.00,128670.00
"Jue 14/07/22",0.00,4350.00,193660.00,0.00,198010.00,0,0.00,48,4125.21,198010.00
"Vie 15/07/22",0.00,6251.00,183400.00,0.00,189651.00,0,0.00,50,3793.02,189651.00
"Sab 16/07/22",0.00,0.00,240119.00,0.00,240119.00,0,0.00,61,3936.38,240119.00
"Mar 19/07/22",0.00,2420.00,140434.00,0.00,142854.00,0,0.00,38,3759.32,142854.00
"Mie 20/07/22",0.00,0.00,234545.00,0.00,234545.00,0,0.00,51,4598.92,234545.00
"Jue 21/07/22",0.00,8900.00,120580.00,0.00,129480.00,0,0.00,31,4176.77,129480.00
"Vie 22/07/22",0.00,11000.00,236080.00,0.00,247080.00,0,0.00,55,4492.36,247080.00
"Sab 23/07/22",0.00,0.00,223260.00,0.00,223260.00,0,0.00,53,4212.45,223260.00
"Mar 26/07/22",0.00,0.00,183461.00,0.00,183461.00,0,0.00,42,4368.12,183461.00
"Mie 27/07/22",0.00,1290.00,125010.00,0.00,126300.00,0,0.00,24,5262.50,126300.00
"Jue 28/07/22",0.00,6320.00,192520.00,0.00,198840.00,0,0.00,45,4418.67,198840.00
"Vie 29/07/22",0.00,0.00,306570.00,0.00,306570.00,0,0.00,73,4199.59,306570.00
"Sab 30/07/22",0.00,4890.00,323105.00,0.00,327995.00,0,0.00,77,4259.68,327995.00
"Mar 02/08/22",0.00,18570.00,139281.00,0.00,157851.00,0,0.00,44,3587.52,157851.00
"Mie 03/08/22",0.00,16910.00,102530.00,0.00,119440.00,0,0.00,27,4423.70,119440.00
"Jue 04/08/22",0.00,23260.00,89010.00,0.00,112270.00,0,0.00,25,4490.80,112270.00
"Vie 05/08/22",0.00,23930.00,264220.00,0.00,288150.00,0,0.00,63,4573.81,288150.00
"Sab 06/08/22",0.00,34830.00,264250.00,0.00,299080.00,0,0.00,73,4096.99,299080.00
"Mar 09/08/22",0.00,5750.00,182272.00,0.00,188022.00,0,0.00,43,4372.60,188022.00
"Mie 10/08/22",0.00,13200.00,155490.00,0.00,168690.00,0,0.00,30,5623.00,168690.00
"Jue 11/08/22",0.00,14450.00,193060.00,0.00,207510.00,0,0.00,47,4415.11,207510.00
"Vie 12/08/22",0.00,31050.00,269260.00,0.00,300310.00,0,0.00,67,4482.24,300310.00
"Sab 13/08/22",0.00,29850.00,254620.00,0.00,284470.00,0,0.00,64,4444.84,284470.00
"Dom 14/08/22",0.00,27070.00,169950.00,0.00,197020.00,0,0.00,42,4690.95,197020.00
"Mie 17/08/22",0.00,6900.00,150690.00,0.00,157590.00,0,0.00,29,5434.14,157590.00
"Jue 18/08/22",0.00,5600.00,85690.00,0.00,91290.00,0,0.00,21,4347.14,91290.00
"Vie 19/08/22",0.00,47390.00,271290.00,0.00,318680.00,0,0.00,69,4618.55,318680.00
"Sab 20/08/22",0.00,8710.00,244730.00,0.00,253440.00,0,0.00,51,4969.41,253440.00
"Mar 23/08/22",0.00,12400.00,128357.00,0.00,140757.00,0,0.00,31,4540.55,140757.00
"Mie 24/08/22",0.00,2800.00,147550.00,0.00,150350.00,0,0.00,30,5011.67,150350.00
"Jue 25/08/22",0.00,0.00,223440.00,0.00,223440.00,0,0.00,46,4857.39,223440.00
